dataset,rel_path,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_hue,std_hue,hue_entropy,mean_saturation,mean_value,lab_L,lab_a,lab_b,colorfulness
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00037.jpg,213.16964721679688,208.17091369628906,211.2028045654297,51.26079177856445,55.23420715332031,52.40947723388672,0.4511306881904602,0.34733647108078003,-3.035333368268226,0.0713919997215271,0.8504501581192017,83.4917984008789,2.5036826133728027,-0.9359157085418701,16.3242130279541
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00038.jpg,214.9783172607422,211.64540100097656,214.10459899902344,52.973140716552734,57.141578674316406,53.8435173034668,0.39793798327445984,0.317988783121109,-2.717411591769476,0.0798838883638382,0.8637304306030273,84.56987762451172,1.9172531366348267,-0.8568482398986816,18.75619888305664
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00039.jpg,206.02296447753906,200.85841369628906,203.46810913085938,57.46992874145508,62.21827697753906,60.02770233154297,0.39926984906196594,0.3366071879863739,-3.3402061918641692,0.09370095282793045,0.8273409008979797,80.70313262939453,2.630998373031616,-0.6805317401885986,19.692890167236328
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00040.jpg,180.0994873046875,174.7142791748047,173.9477081298828,69.87616729736328,73.95352935791016,72.4081802368164,0.3490888178348541,0.35435524582862854,-3.400796463990687,0.12067479640245438,0.7174620628356934,70.62062072753906,2.208549737930298,1.0445728302001953,17.62352752685547
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00041.jpg,199.6875,196.67984008789062,198.5255126953125,62.818519592285156,65.9195556640625,61.02278137207031,0.36017757654190063,0.32138487696647644,-4.242318537539041,0.08884221315383911,0.8024109601974487,78.88728332519531,1.7741365432739258,-0.7267231941223145,17.142845153808594
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00046.jpg,185.1734619140625,186.22576904296875,179.25637817382812,71.30011749267578,68.4586410522461,67.27539825439453,0.2993171513080597,0.25972047448158264,-2.374145782007002,0.14213474094867706,0.7568877935409546,74.42232513427734,-1.2217291593551636,3.3244943618774414,26.422019958496094
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00047.jpg,196.66964721679688,195.42984008789062,185.363525390625,57.705284118652344,56.823997497558594,58.48891830444336,0.27608340978622437,0.24050435423851013,-2.5486160910336633,0.1293974220752716,0.7950881123542786,78.2411880493164,-0.9917593002319336,5.293298721313477,28.09397315979004
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00048.jpg,185.27296447753906,186.69515991210938,181.46173095703125,68.54399871826172,64.65274810791016,61.31647491455078,0.3073413074016571,0.25236353278160095,-2.1772655355865407,0.1286924183368683,0.7585083842277527,74.7263412475586,-1.0944900512695312,2.3654701709747314,23.58625030517578
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00049.jpg,202.5153045654297,202.8265380859375,198.96046447753906,63.54184341430664,60.235111236572266,60.26110076904297,0.24182097613811493,0.24309669435024261,-3.8668679746298427,0.08947107940912247,0.8153811693191528,80.82284545898438,-0.6583074331283569,1.89670729637146,18.555362701416016
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00043.jpg,207.08546447753906,206.21939086914062,200.58035278320312,60.64701461791992,59.8763427734375,61.252662658691406,0.26447394490242004,0.2639499008655548,-3.1147004816615764,0.09057067334651947,0.8290166258811951,82.12632751464844,-0.49227380752563477,2.9643754959106445,21.14180564880371
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00001.jpg,199.89923095703125,192.7755126953125,185.48214721679688,65.96142578125,71.732177734375,77.209228515625,0.1661091297864914,0.2465178668498993,-6.679483009192968,0.11727383732795715,0.7848640084266663,77.35717010498047,1.5438798666000366,4.97073221206665,18.087444305419922
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00042.jpg,193.3456573486328,188.44259643554688,190.60459899902344,62.849082946777344,67.14897155761719,62.25703430175781,0.4092291295528412,0.35248297452926636,-2.9840436167209075,0.10065030306577682,0.7752501964569092,76.01349639892578,2.581192970275879,-0.6549959778785706,19.02591323852539
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00002.jpg,214.19259643554688,209.14796447753906,207.76658630371094,57.78147506713867,62.855873107910156,62.90863037109375,0.3232008218765259,0.3436594009399414,-3.471741968619964,0.0822022408246994,0.8472589254379272,83.51739501953125,1.776038646697998,1.3727326393127441,16.14698028564453
